"run_date","experiment","start_time","culture","diet","tube","minute","second","time","rank","ct_max","ramp_rate","length","sex","run","cumul_day","rep","rep_day"
"2022-08-03","two","1899-12-31 12:50:00","July","starvation",5,22,26,20.4333333333333,9,24.0984848484848,0.247027972027963,0.834,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","starvation",6,78,10,76.1666666666667,4,35.7604166666667,0.173076923076916,0.818,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","fed",7,80,28,78.4666666666667,2,36.1979166666667,0.172552447552438,0.791,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","fed",8,77,11,75.1833333333333,5,35.5659722222222,0.178846153846146,0.836,"fem",25,24,3,4
"2022-08-03","two","1899-12-31 12:50:00","July","starvation",9,79,8,77.1333333333333,3,35.9375,0.171503496503488,0.785,"fem",25,24,3,4
"2022-08-04","two","1899-12-31 14:00:00","July","fed",1,74,33,72.55,1,35.5625,0.185489510489505,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","starvation",3,46,32,44.5333333333333,6,29.9672619047619,0.21590909090908,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","starvation",4,40,49,38.8166666666667,7,28.703125,0.233041958041949,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","fed",5,72,7,70.1166666666667,4,35.0875,0.189335664335655,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","starvation",7,59,11,57.1833333333333,5,32.6180555555556,0.204720279720273,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","fed",8,73,50,71.8333333333333,2,35.4375,0.187062937062929,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","fed",9,73,6,71.1,3,35.28125,0.187062937062929,NA,NA,26,25,3,5
"2022-08-04","two","1899-12-31 14:00:00","July","starvation",10,34,45,32.75,8,27.3356481481481,0.219405594405593,NA,NA,26,25,3,5
"2022-09-11","two","1899-12-31 17:00:00","July","fed",1,67,30,65.5,9,35.2270833333333,0.185489510489501,0.83,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",2,74,4,72.0666666666667,1,36.5,0.167561605061601,0.834,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",3,69,20,67.3333333333333,4,35.6354166666667,0.184615384615372,0.792,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",4,68,0,66,8,35.3240740740741,0.187062937062925,0.836,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",5,68,20,66.3333333333333,7,35.4010416666667,0.185839160839151,0.815,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",6,69,47,67.7833333333333,3,35.7135416666667,0.184615384615372,0.822,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",7,68,36,66.6,6,35.4642857142857,0.185839160839151,0.852,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",8,68,50,66.8333333333333,5,35.5083333333333,0.185839160839151,0.845,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",9,70,18,68.3,2,35.8020833333333,0.186713286713276,0.831,"fem",27,63,4,0
"2022-09-11","two","1899-12-31 17:00:00","July","fed",10,66,36,64.6,10,35.0572916666667,0.185139860139854,0.898,"fem",27,63,4,0
"2022-09-12","two","1899-12-31 22:00:00","July","starvation",1,73,10,71.1666666666667,1,35.5416666666667,0.186707459207455,0.871,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","starvation",2,72,12,70.2,4,35.3625,0.186538461538456,0.876,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","fed",3,69,12,67.2,8,34.8104166666667,0.181293706293697,0.868,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","fed",4,71,37,69.6166666666667,5,35.2569444444444,0.178671328671322,0.864,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","fed",5,68,23,66.3833333333333,9,34.6590909090909,0.185664335664329,0.876,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","fed",6,71,22,69.3666666666667,6,35.2053571428571,0.178671328671322,0.822,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","fed",7,72,34,70.5666666666667,3,35.4513888888889,0.186538461538456,0.906,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","starvation",8,70,49,68.8166666666667,7,35.0989583333333,0.179895104895098,0.908,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","starvation",9,72,53,70.8833333333333,2,35.53125,0.186538461538456,0.808,"fem",28,64,4,1
"2022-09-12","two","1899-12-31 22:00:00","July","starvation",10,67,39,65.65,10,34.5295138888889,0.192132867132861,0.893,"fem",28,64,4,1
"2022-09-13","two","1899-12-31 22:00:00","July","starvation",1,78,55,76.9166666666667,1,36.8125,0.166083916083908,0.834,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","starvation",2,67,57,65.95,6,34.9285714285714,0.172202797202793,0.829,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","starvation",3,65,57,63.95,10,34.5486111111111,0.176923076923078,0.856,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","fed",4,70,3,68.05,4,35.2875,0.182517482517472,0.857,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","fed",5,70,22,68.3666666666667,3,35.3489583333333,0.182517482517472,0.886,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","fed",6,68,27,66.45,5,34.9930555555556,0.180419580419574,0.898,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","fed",7,67,17,65.2833333333333,7,34.7916666666667,0.172202797202793,0.868,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","fed",8,66,28,64.4666666666667,9,34.6401515151515,0.171853146853145,0.897,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","starvation",9,66,55,64.9166666666667,8,34.7175925925926,0.171853146853145,0.888,"fem",29,65,4,2
"2022-09-13","two","1899-12-31 22:00:00","July","starvation",10,70,38,68.6333333333333,2,35.4166666666667,0.182517482517472,0.877,"fem",29,65,4,2
"2022-09-14","two","1899-12-31 15:00:00","July","starvation",2,54,43,52.7166666666667,9,34.2064393939394,0.20786713286712,0.896,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","starvation",3,61,44,59.7333333333333,1,35.5833333333333,0.193181818181815,0.894,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","fed",4,59,51,57.85,4,35.2291666666667,0.186538461538456,0.899,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","fed",5,60,34,58.5666666666667,2,35.375,0.193706293706289,0.875,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","fed",6,58,39,56.65,8,34.9699074074074,0.193356643356637,0.866,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","fed",7,60,14,58.2333333333333,3,35.2986111111111,0.193706293706289,0.866,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","fed",8,59,2,57.0333333333333,7,35.0393518518519,0.186538461538456,0.855,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","starvation",9,59,15,57.25,6,35.0922619047619,0.186538461538456,0.861,"fem",30,66,4,3
"2022-09-14","two","1899-12-31 15:00:00","July","starvation",10,59,30,57.5,5,35.1708333333333,0.186538461538456,0.841,"fem",30,66,4,3
